  ◆  swag        unittest • sources
  Test-FormatComments_SpaceAfterLineCommentPrefix  ok (56 us)
  Test-FormatComments_NormalizeSectionSeparators  ok (49 us)
  Test-FormatComments_ReflowParagraph  ok (57 us)
  Test-FormatComments_ReflowJoinsShortLines  ok (55 us)
  Test-FormatComments_NormalizeMode  ok (47 us)
  Test-FormatComments_LastInBlockKeepsBlockIndent  ok (71 us)
  Test-FormatComments_LastInNestedBlockKeepsBlockIndent  ok (106 us)
  Test-FormatComments_LastInSwitchKeepsArmIndent  ok (92 us)
  Test-FormatComments_BeforeCaseLabelKeepsLabelIndent  ok (86 us)
  Test-FormatComments_InsideABracketSettleInOnePass  ok (129 us)
  Test-FormatFile_InlineBodyOwnsNestedBraceIndent  ok (102 us)
  Test-FormatFile_InlineIfBranchStopsBeforeElse  ok (495 us)
  Test-FormatFile_CatchHandlerAlignsAndIndents  ok (93 us)
  Test-FormatFile_InlineDestructuringIsNotABlock  ok (139 us)
  Test-FormatFile_InsertFinalNewline  ok (54 us)
  Test-FormatFile_TrimLeadingBlankLines  ok (49 us)
  Test-FormatFile_TrimLeadingBlankLinesDisabled  ok (46 us)
  Test-FormatFile_ReservedIdentifiersAreFormattable  ok (57 us)
  Test-FormatFile_IndentInsideParensEnforcesContinuation  ok (94 us)
  Test-FormatFile_AlignOperandsOnWrappedCondition  ok (80 us)
  Test-FormatFile_WhereClauseIndent  ok (78 us)
  Test-FormatFile_WhereBlockIndent  ok (78 us)
  Test-FormatFile_EndOfLineStyleLf  ok (53 us)
  Test-FormatFile_EndOfLineStyleCrLf  ok (49 us)
  Test-FormatFile_TrimTrailingWhitespace  ok (49 us)
  Test-FormatFile_BlankLineAfterUsingBlock  ok (93 us)
  Test-FormatFile_BlankLineBeforeFunctionDefinition  ok (81 us)
  Test-FormatFile_IndentStyleSpacesNormalizesTabs  ok (58 us)
  Test-FormatFile_IndentStyleTabs  ok (56 us)
  Test-FormatFile_ReindentFixesBadIndent  ok (73 us)
  Test-FormatFile_ElseBeforeNestedIfAligns  ok (98 us)
  Test-FormatFile_IndentNamespaceBodyOff  ok (64 us)
  Test-FormatFile_IndentCaseLabels  ok (152 us)
  Test-FormatLiteral_PreserveLeavesNumericLiteralsUntouched  ok (95 us)
  Test-FormatLiteral_PreserveCharacterTypeSuffix  ok (92 us)
  Test-FormatLiteral_HexDigitCaseUpperAndLower  ok (113 us)
  Test-FormatLiteral_HexPrefixCaseUpperAndLower  ok (98 us)
  Test-FormatLiteral_FloatExponentCaseUpperAndLower  ok (96 us)
  Test-FormatLiteral_NormalizeHexDigitSeparators  ok (50 us)
  Test-FormatLiteral_NormalizeBinaryDigitSeparators  ok (50 us)
  Test-FormatLiteral_NormalizeDecimalDigitSeparators  ok (49 us)
  Test-FormatLiteral_NormalizeFloatDigitSeparators  ok (50 us)
  Test-FormatLiteral_CombinedHexCaseAndNormalization  ok (49 us)
  Test-FormatOff_LineCommentDisablesNumberFormatting  ok (61 us)
  Test-FormatOff_NoOnComment_RestOfFileRaw  ok (57 us)
  Test-FormatOff_MultipleRegions  ok (66 us)
  Test-FormatOff_BlockComment  ok (59 us)
  Test-FormatOff_CustomMarkers  ok (56 us)
  Test-FormatOff_EolNotRewrittenInDisabledRegion  ok (59 us)
  Test-FormatSpacing_SpaceAfterComma  ok (94 us)
  Test-FormatSpacing_NormalizeHorizontalWhitespace  ok (84 us)
  Test-FormatSpacing_NamedArgumentColons  ok (85 us)
  Test-FormatSpacing_TrueOptionsKeepManualAlignment  ok (66 us)
  Test-FormatSpacing_NoSpaceAfterComma  ok (66 us)
  Test-FormatSpacing_SpaceAroundAssignment  ok (63 us)
  Test-FormatSpacing_NoSpaceAroundAssignment  ok (49 us)
  Test-FormatSpacing_SpaceAroundBinaryOperators  ok (63 us)
  Test-FormatSpacing_NoSpaceAroundBinaryOperators  ok (80 us)
  Test-FormatSpacing_SpaceAroundArrow  ok (116 us)
  Test-FormatSpacing_FatArrow  ok (117 us)
  Test-FormatSpacing_ColonInDeclarations  ok (67 us)
  Test-FormatSpacing_ColonInBaseClause  ok (62 us)
  Test-FormatSpacing_InsideParentheses  ok (138 us)
  Test-FormatSpacing_InEmptyParentheses  ok (99 us)
  Test-FormatSpacing_InsideBrackets  ok (139 us)
  Test-FormatSpacing_AfterCast  ok (120 us)
  Test-FormatSpacing_AfterKeyword  ok (131 us)
  Test-FormatSpacing_AfterUnaryOperator  ok (77 us)
  Test-FormatSpacing_PostfixDereference  ok (82 us)
